ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-01-02,01-PC,Chi tiÒn mÆt nép vµo TK TGNH t¹i NH.Agribank CN Cñ Chi. (ST: 2.040.000.000®),1121,,0,2040000000
2019-01-02,01-PT,Thu tiÒn ViÖn phÝ ®ªm 31/12/2018 vµ ngµy 01/01/2019,131,,869486992,0
2019-01-02,01-PC,PhÝ nép tiÒn vµo TK TGNH t¹i NH.Agribank CN Cñ Chi.,6427,,0,673200
2019-01-02,02-PT,Thu tiÒn ViÖn phÝ ®ªm 01/01/2019 vµ ngµy 02/01/2019,131,,962958505,0
2019-01-02,02-PC,Chi TT phÝ kiÓm ®Þnh thiÕt bÞ c©n §H cho TT kü thuËt tiªu chuÈn ®o l­êng chÊt l­îng (theo H§ 0030503 ngµy 02/01/2019),6425,,0,4420000
2019-01-03,03-PC,Chi tiÒn mÆt nép vµo TK TGNH t¹i NH.Agribank CN Cñ Chi. (ST: 1.140.000.000®),1121,,0,1140000000
2019-01-03,03-PT,Thu tiÒn ViÖn phÝ ®ªm 02/01/2019 vµ ngµy 03/01/2019,131,,1123607299,0
2019-01-03,03-PC,PhÝ nép tiÒn vµo TK TGNH t¹i NH.Agribank CN Cñ Chi.,6427,,0,376200
2019-01-03,04-PC,Chi th¨m hái C§V bÖnh - Ph¹m Duy Thanh (Khoa KSNK),3382,,0,200000
2019-01-03,05-PC,"Chi tiÒn mõng c­íi 03 C§V TrÇn Thanh Phót (Khoa LCK), LÌo Ngäc Th¸i Hßa (P. QLDV), NguyÔn H÷u NhiÖm (Khoa C§HA)",3382,,0,1500000
2019-01-04,04-PT,Thu tiÒn ViÖn phÝ ®ªm 03/01/2019 vµ ngµy 04/01/2019,131,,1074881526,0
2019-01-04,05-PT.,Thu tiÒn m­în cña bµ NguyÔn ThÞ Thu Thñy (H§QT),3388,,576338219,0
2019-01-04,05-PT,Thu tiÒn chiÕt khÊu b¸n thÎ BHYT th¸ng 11/2018 vµ ngµy 12/2018 cña UBND Ph­êng 9 (23 thÎ),711,,380864,0
2019-01-04,06-PC,Chi tiÒn mÆt nép vµo TK TGNH t¹i NH.Agribank CN Cñ Chi. (ST: 1.180.000.000®),1121,,0,1180000000
2019-01-04,06-PC,PhÝ nép tiÒn vµo TK TGNH t¹i NH.Agribank CN Cñ Chi.,6427,,0,389400
2019-01-04,06-PT,Thu tiÒn chiÕt khÊu s¶n l­îng x¨ng dÇu th¸ng 11/2018 cña cöa hµng x¨ng dÇu sè 37,711,,767750,0
2019-01-04,07-PC,Chi tiÒn phóng ®iÕu th©n phô cña C§V Vâ Minh B×nh (Khoa Néi TQ),3382,,0,500000
2019-01-05,07-PT,Thu tiÒn ViÖn phÝ ®ªm 04/01/2019 vµ ngµy 05/01/2019,131,,814580404,0
2019-01-05,08-PC,Chi tiÒn mÆt nép vµo TK TGNH (6120201006313) cña BVXA Cñ Chi t¹i NH. Agribank CN. Cñ Chi,1388,,0,900000000
2019-01-05,08-PC,Chi tiÒn mÆt nép vµo TK TGNH (6120201006313) cña BVXA Cñ Chi t¹i NH. Agribank CN. Cñ Chi,6427,,0,297000
2019-01-07,08-PT,Thu tiÒn ViÖn phÝ ®ªm 05/01/2019 vµ ngµy 06/01/2019,131,,848393524,0
2019-01-07,09-PC,Chi tiÒn mÆt nép vµo TK TGNH t¹i NH.Agribank CN Cñ Chi. (ST: 1.120.000.000®),1121,,0,1120000000
2019-01-07,09-PT,Thu tiÒn ViÖn phÝ ®ªm 06/01/2019 vµ ngµy 07/01/2019,131,,825440884,0
2019-01-07,09-PC,PhÝ nép tiÒn vµo TK TGNH t¹i NH.Agribank CN Cñ Chi.,6427,,0,369600
2019-01-07,10A-PC,Chi TT tiÒn l­¬ng (§ît 1 T.12/2018) cho CB- CNV khèi chuyªn m«n.,3341,,0,150807797
2019-01-07,10-PC,Chi TT tiÒn l­¬ng (§ît 1 T.12/2018) cho CB-CNV khèi qu¶n lý,3344,,0,43655869
2019-01-07,11-PC,Chi TT tiÒn l­¬ng (§ît 1 T.12/2018) cho CB-CNV qu¶n lý,3341,,0,3179000
2019-01-07,11A-PC,Chi TT tiÒn l­¬ng (§ît 1 T.12/2018) cho CB- CNV khèi chuyªn m«n.,3341,,0,258056010
2019-01-07,12-PC,Chi TT tiÒn l­¬ng (§ît 1 T.12/2018) cho CB-CNV,3341,,0,40119704
2019-01-07,13-PC,"Chi TT tiÒn mua dÇu géi - S÷a t¾m kh« nhËp kho Tæng t¹i Khoa D­îc BVXA VÜnh Long (theo H§ 0001706 ngµy 24/12/2018, Bill 645415 ngµy 05/01/2018) -",331,,0,5000000
2019-01-08,10-PT,Thu tiÒn ViÖn phÝ ®ªm 07/01/2019 vµ ngµy 08/01/2019,131,,1002344462,0
2019-01-08,14-PC,Chi TT tiÒn thuª bao truyÒn h×nh c¸p th¸ng 12/2018 (theo H§ 0004517 ngµy 02/01/2019) - C«ng ty TruyÒn h×nh Ph­¬ng Nam,6427,,0,4257000
2019-01-08,15-PC,"Chi TT tiÒn BG§ ngo¹i giao, tiÕp kh¸ch (theo H§ 0021775 ngµy 08/01/2019)",6428,,0,3363500
2019-01-08,16-PC,Chi TT tiÒn mua bån vÖ sinh nhËp kho VTTH t¹i Khoa d­îc (theo H§ 0000348 Bill(459052 ngµy 26/11/2018)) - C«ng ty TNHH Th­¬ng m¹i søc kháe ViÖt,331,,0,9100000
2019-01-08,17-PC,Chi tiÒn mÆt nép vµo TK TGNH t¹i NH.Agribank CN Cñ Chi. (ST: 1.090.000.000®),1121,,0,1090000000
2019-01-08,17-PC,PhÝ nép tiÒn vµo TK TGNH t¹i NH.Agribank CN Cñ Chi.,6427,,0,359700
2019-01-09,11-PT,Thu tiÒn ViÖn phÝ ®ªm 08/01/2019 vµ ngµy 09/01/2019,131,,1107827123,0
2019-01-09,12-PT,"Thu hoµn tiÒn l­¬ng ®ît 1 vµ ®ît 2 th¸ng 11/2018 cña NguyÔn ThÞ Kim Ph­îng (TT. Soi), D­¬ng ThÞ Thu YÕn (K. Ngo¹i niÖu)",622,,1287695,0
2019-01-09,13-PT,Thu tiÒn KSK cña C«ng ty Cæ phÇn D­îc phÈm Imexpharm (20/BBTL-BVXA ngµy 19/12/2018),131,,10944000,0
2019-01-09,18-PC,Chi tiÒn mÆt nép vµo TK TGNH t¹i NH.Agribank CN Cñ Chi. (ST: 620.000.000®),1121,,0,620000000
2019-01-09,18-PC,PhÝ nép tiÒn vµo TK TGNH t¹i NH.Agribank CN Cñ Chi.,6427,,0,204600
2019-01-09,19-PC,"Chi TT tiÒn l¾p bµn phÈu thuËt, söa xe tiªm t¹i phßng mæ, Khoa Ngo¹i tiÕt niÖu",6277,,0,10408000
2019-01-09,20-PC,Chi TT tiÒn c­íc dÞch vô viÔn th«ng th¸ng 12/2018 theo H§ 1023010 ngµy 09/01/2019 - Trung t©m kinh doanh VNPT VÜnh Long,6427,,0,715000
2019-01-09,21-PC,"Chi tiÒn mõng c­íi cho C§V Ph¹m ThÞ Mü Quyªn (TT Néi soi), Th¹ch ChÇm Rªnh (Khoa CC), NguyÔn Phó C­êng (Khoa CC), th¨m èm C§V NguyÔn ThÞ Méng TuyÒn ( Khoa D­îc)",3382,,0,1700000
2019-01-09,22-PC,"Chi TT tiÒn mua miÕng ®Öm b¶o vÖ m¾t nhËp kho VËt t­ t¹i Khoa d­îc BVXA VÜnh Long (theo H§ 0000478 ngµy 08/01/2018, Bill 663144 ngµy 09/01/2018) - C«ng ty TNHH TM DV thiÕt bÞ y tÕ Hoµng Ph¸t",331,,0,3809524
2019-01-10,14-PT,Thu tiÒn ViÖn phÝ ®ªm 09/01/2019 vµ ngµy 10/01/2019,131,,842437671,0
2019-01-10,23-PC,Chi tiÒn mÆt nép vµo TK TGNH t¹i NH.Agribank CN Cñ Chi. (ST: 910.000.000®),1121,,0,910000000
