ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-04-06,01-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000504 ngµy 25/03/2019, Bill 1054424) - Cty Hîp Lùc",331,,9376190,0
2019-04-09,02-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000520 ngµy 09/04/2019, Bill 1074317) - Cty Hîp Lùc",331,,1550477,0
2019-04-17,03-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 1241888 ngµy 16/04/2019, Bill 1103971) - Cty Vimedimex BD",331,,1024650,0
2019-04-23,04-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0023047 ngµy 12/04/2019, Bill 1134829) - Cty Phan Anh",331,,476190,0
2019-06-14,01-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000616 ngµy 13/06/2019, Bill 1362774) - Cty Hîp Lùc",331,,7752381,0
2019-06-18,02-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000617 ngµy 17/06/2019, Bill 1378839) - Cty Hîp Lùc",331,,1718095,0
2019-07-02,01-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000623 ngµy 25/06/2019, Bill 1446701) - Cty Hîp Lùc",331,,5594286,0
2019-07-16,02-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000648 ngµy 13/07/2019, Bill 1511634) - Cty Hîp Lùc",331,,3436190,0
2019-07-23,03-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000664 ngµy 23/07/2019, Bill 1553532) - Cty Hîp Lùc",331,,7920000,0
2019-08-15,01-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000697 ngµy 15/08/2019, Bill 1656927) - Cty Hîp Lùc",331,,7920000,0
2019-08-27,02-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000714 ngµy 27/08/2019, Bill 1705746) - Cty Hîp Lùc",331,,6285714,0
2019-09-13,01-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000737 ngµy 13/09/2019, Bill 1785413) - Cty Hîp Lùc",331,,5164762,0
2019-10-12,01-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000033 ngµy 10/10/2019, Bill 1915247) - Cty Hîp Lùc",331,,3100952,0
2019-10-23,02-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000048 ngµy 22/10/2019, Bill 1970489) - Cty Hîp Lùc",331,,5426666,0
2019-11-06,01-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000068 ngµy 05/11/2019, Bill 2038809) - Cty Hîp Lùc",331,,6191427,0
2019-11-25,02-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000099 ngµy 22/11/2019, Bill 2128575) - Cty Hîp Lùc",331,,9638094,0
2019-12-31,41-TH,XuÊt hµng b¸n vµo gi¸ vèn n¨m 2019,6321,,0,68675102
