ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-12-31,006-TH,TrÝch KhÊu hao TSC§ n¨m 2019: Tßa nhµ BÖnh viÖn Xuyªn ¸ - VÜnh Long vµo chi phÝ SXKD n¨m 2019.,6274,,0,13051495043
2019-12-31,023-TH,TrÝch KhÊu hao TSC§ n¨m 2019: M¸y mãc thiÕt bÞ y tÕ vµo chi phÝ SXKD n¨m 2019,6274,,0,6360710870
2019-12-31,024-TH,TrÝch KhÊu hao TSC§ n¨m 2019: Ph­¬ng tiÖn vËn chuyÓn vµo chi phÝ SXKD n¨m 2019,6274,,0,276230000
2019-12-31,135-TH,TrÝch KhÊu hao TSC§ n¨m 2019: QuyÒn sö dông ®Êt BVXA T©y Ninh vµo chi phÝ SXKD n¨m 2019,6274,,0,500000000
2019-12-31,136-TH,TrÝch KhÊu hao TSC§ n¨m 2019: QuyÒn sö dông ®Êt (Kho) BVXA T©y Ninh vµo chi phÝ SXKD n¨m 2019,6274,,0,5357143
2019-12-31,153-KTK,TrÝch khÊu hao tµi s¶n n¨m 2019 (Nhãm tµi s¶n tù mua),6274,,0,117067083
