ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-01-02,21-KTK,XuÊt thuèc cho BV Xuyªn ¸ Cñ Chi m­în (Bill 630865 ngµy 02/01/2019) - BV Xuyªn ¸ VÜnh Long,1521,,2016000,0
2019-01-03,04-PC,Chi th¨m hái C§V bÖnh - Ph¹m Duy Thanh (Khoa KSNK),1111,,200000,0
2019-01-03,05-PC,"Chi tiÒn mõng c­íi 03 C§V TrÇn Thanh Phót (Khoa LCK), LÌo Ngäc Th¸i Hßa (P. QLDV), NguyÔn H÷u NhiÖm (Khoa C§HA)",1111,,1500000,0
2019-01-04,05-PT.,Thu tiÒn m­în cña bµ NguyÔn ThÞ Thu Thñy (H§QT),1111,,0,576338219
2019-01-04,07-PC,Chi tiÒn phóng ®iÕu th©n phô cña C§V Vâ Minh B×nh (Khoa Néi TQ),1111,,500000,0
2019-01-04,19-KTK,XuÊt vËt t­ BV Xuyªn ¸ Cñ Chi m­în (Bill 0643609 ngµy 04/01/2019) - BV Xuyªn ¸ VÜnh Long,1522,,9409799,0
2019-01-04,20-KTK,XuÊt thuèc cho BV Xuyªn ¸ Cñ Chi m­în (Bill 644371 ngµy 04/01/2019) - BV Xuyªn ¸ VÜnh Long,1521,,1995059,0
2019-01-04,49-NT,"NhËp thuèc (m­în thuèc BV Xuyªn ¸ Cñ Chi, Bill 644355) - BV Xuyªn ¸ Cñ Chi",1521,,0,237471898
2019-01-05,24-VT,"NhËp vËt t­ (m­în vËt t­ BV Xuyªn ¸ Cñ Chi, Bill 648247) - BV Xuyªn ¸ Cñ Chi",1522,,0,8825000
2019-01-08,14-KTK,XuÊt thuèc cho BV Xuyªn ¸ Cñ Chi m­în (Bill 658539 ngµy 08/01/2019) - BV Xuyªn ¸ VÜnh Long,1521,,1124340,0
2019-01-09,21-PC,"Chi tiÒn mõng c­íi cho C§V Ph¹m ThÞ Mü Quyªn (TT Néi soi), Th¹ch ChÇm Rªnh (Khoa CC), NguyÔn Phó C­êng (Khoa CC), th¨m èm C§V NguyÔn ThÞ Méng TuyÒn ( Khoa D­îc)",1111,,1700000,0
2019-01-10,18-KTK,XuÊt thuèc cho BV Xuyªn ¸ Cñ Chi m­în (Bill 669817 ngµy 10/01/2019) - BV Xuyªn ¸ VÜnh Long,1521,,4448000,0
2019-01-10,63-VT,"NhËp vËt t­ (m­în vËt t­ BV Xuyªn ¸ Cñ Chi, Bill 669420) - BV Xuyªn ¸ Cñ Chi",1522,,0,9150000
2019-01-11,115-NT,"NhËp thuèc (m­în thuèc BV Xuyªn ¸ Cñ Chi, Bill 672293) - BV Xuyªn ¸ Cñ Chi",1521,,0,15885400
2019-01-12,15-KTK,XuÊt thuèc cho BV Xuyªn ¸ Cñ Chi m­în (Bill 678534 ngµy 12/01/2019) - BV Xuyªn ¸ VÜnh Long,1521,,6940482,0
2019-01-12,87-VT,"NhËp vËt t­ (m­în vËt t­ BV Xuyªn ¸ Cñ Chi, Bill 678803) - BV Xuyªn ¸ Cñ Chi",1522,,0,7897575
2019-01-14,07-KTK,KhÊu trõ 1% tiÒn C«ng §oµn th¸ng 12/2018 vµo tiÒn l­¬ng cña CB-CNV khèi qu¶n lý.,3344,,0,4021570
2019-01-14,08-KTK,KhÊu trõ 1% tiÒn C«ng §oµn th¸ng 12/2018 vµo tiÒn l­¬ng cña CB-CNV khèi chuyªn m«n .,3341,,0,18288831
2019-01-14,09-KTK,TrÝch 2% tiÒn C«ng §oµn th¸ng 12/2018 vµo tiÒn l­¬ng cña CB-CNV khèi qu¶n lý,6421,,0,8043140
2019-01-14,10-KTK,TrÝch 2% tiÒn C«ng §oµn th¸ng 12/2018 vµo tiÒn l­¬ng cña CB-CNV khèi chuyªn m«n,622,,0,36577662
2019-01-14,126-NT,"NhËp thuèc (m­în thuèc BV Xuyªn ¸ Cñ Chi, Bill 682723) - BV Xuyªn ¸ Cñ Chi",1521,,0,117191293
2019-01-15,16-KTK,XuÊt thuèc cho BV Xuyªn ¸ Cñ Chi m­în (Bill 690477 ngµy 15/01/2019) - BV Xuyªn ¸ VÜnh Long,1521,,126000,0
