ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-01-03,04-KTK,Chi phÝ x¨ng dÇu T01/2019 tõ ngµy 01/01 ®Õn ngµy 03/01/2019 (H§ 0012500 ngµy 03/01/2019) - Cty Mª K«ng,331,,4395500,0
2019-01-06,06-KTK,Chi phÝ tiÒn ®iÖn T01/2019 (kú 1) tõ ngµy 26/12 ®Õn 06/01/2019 MS: PB10010068616 - Cty ®iÖn lùc VÜnh Long,331,,219438230,0
2019-01-09,19-PC,"Chi TT tiÒn l¾p bµn phÈu thuËt, söa xe tiªm t¹i phßng mæ, Khoa Ngo¹i tiÕt niÖu",1111,,10408000,0
2019-01-10,05-KTK,Chi phÝ x¨ng dÇu T01/2019 tõ ngµy 04/01 ®Õn ngµy 09/01/2019 (H§ 0010032 ngµy 10/01/2019) - Cty Mª K«ng,331,,9670100,0
2019-01-15,11-KTK,Chi phÝ tiÒn ®iÖn T01/2019 (kú 2) tõ ngµy 07/01 ®Õn 15/01/2019 MS: PB10010068616 - Cty ®iÖn lùc VÜnh Long,331,,218090950,0
2019-01-16,42-PC,Chi TT tiÒn mua gia vÞ cho bÕp ¨n phôc vô CB-CNV (th¸ng 12/2018) - NPP Tû Mai,1111,,33733000,0
2019-01-16,43-PC,"Chi TT tiÒn thay vá xe 51B-31789, v¸ vá xe 51B-08755 (theo H§ 0043021 ngµy 11/01/2019) - Garage Lª ThÞ ChÝnh Lïng",1111,,2370000,0
2019-01-17,46-PC,Chi TT tiÒn mua thuèc xÞt muçi nhËp kho VPP cÊp ph¸t cho c¸c Khoa phßng (theo H§ 0052456 ngµy 08/01/2019) - HTX TM - DV Cñ Chi,1111,,1360000,0
2019-01-17,47-PC,"Chi TT tiÒn mua bét giÆt, n­íc lau sµn, n­íc lau kÝnh...nhËp kho VPP cÊp ph¸t c¸c Khoa phßng (theo H§ 0007698 ngµy 08/01/2019) - C«ng ty CP Bét giÆt Lix",1111,,11026792,0
2019-01-18,50-PC,"Chi TT tiÒn mua n­íc röa chÐn t¹i bÕp ¨n CB-CNV (theo H§ 0073285, 0073288 ngµy 27/12/2018, 04/01/2019) - CH. N­íc röa chÐn Tiªn Tri",1111,,3000000,0
