ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-12-31,25-TH,"XuÊt CCDC n¨m 2019: KÕt chuyÓn vµo TK.2422 chê ph©n bæ 3 n¨m [2020, 2021, 2022]",1531,,884279070,0
2019-12-31,26-TH,"XuÊt CCDC n¨m 2019: KÕt chuyÓn vµo TK.2422 chê ph©n bæ 3 n¨m [2020, 2021, 2022]",1531,,1277245219,0
2019-12-31,27-TH,"XuÊt CCDC n¨m 2019: KÕt chuyÓn vµo TK.2422 chê ph©n bæ 3 n¨m [2020, 2021, 2022]",1531,,187890549,0
2019-12-31,64-TH,Ph©n bæ chi phÝ tr¶ tr­íc CCDC n¨m 2018 vµo Chi phÝ SX chung n¨m 2019,6273,,0,7464634541
2019-12-31,65-TH,Ph©n bæ chi phÝ tr¶ tr­íc CCDC n¨m 2019 vµo Chi phÝ SX chung n¨m 2019,6273,,0,588903912
2019-12-31,146-KTK,XuÊt C«ng cô dông cô dïng n¨m 2019 sang TK.242 chê ph©n bæ,1531,,104650000,0
2019-12-31,147-KTK,Ph©n bæ Chi phÝ tr¶ tr­íc n¨m 2018 vµo Chi phÝ qu¶n lý n¨m 2019,6423,,0,8266667
2019-12-31,148-KTK,Ph©n bæ Chi phÝ tr¶ tr­íc n¨m 2019 vµo Chi phÝ qu¶n lý n¨m 2019,6423,,0,125000
