ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-12-31,001-TH,KÕt chuyÓn Thu nhËp kh¸c n¨m 2019 ®Ó x¸c ®Þnh KQKD n¨m 2019,711,,0,8502900
2019-12-31,01-TH,KÕt chuyÓn TK.811_Chi phÝ kh¸c n¨m 2019 ®Ó x¸c ®Þnh KQKD n¨m 2019.,811,,43516977,0
2019-12-31,002-TH,KÕt chuyÓn Thu nhËp kh¸c n¨m 2019 ®Ó x¸c ®Þnh KQKD n¨m 2019,711,,0,5187467
2019-12-31,003-TH,KÕt chuyÓn Thu nhËp kh¸c n¨m 2019 ®Ó x¸c ®Þnh KQKD n¨m 2019,711,,0,1300000
2019-12-31,004-TH,KÕt chuyÓn Thu nhËp kh¸c n¨m 2019 ®Ó x¸c ®Þnh KQKD n¨m 2019,711,,0,45202404
2019-12-31,005-TH,KÕt chuyÓn Thu nhËp kh¸c n¨m 2019 ®Ó x¸c ®Þnh KQKD n¨m 2019,711,,0,61172397
2019-12-31,006-TH,KÕt chuyÓn Thu nhËp kh¸c n¨m 2019 ®Ó x¸c ®Þnh KQKD n¨m 2019,711,,0,7714286
2019-12-31,007-TH,KÕt chuyÓn Chi phÝ l·i vay NH n¨m 2019 ®Ó x¸c ®Þnh KQKD n¨m 2019,6352,,23393870959,0
2019-12-31,28-TH,KÕt chuyÓn L·i tiÒn göi tµi kho¶n thanh to¸n n¨m 2019,515,,0,1651335
2019-12-31,29-TH,KÕt chuyÓn L·i tiÒn göi tµi kho¶n thanh to¸n n¨m 2019,515,,0,6789600
2019-12-31,037-TH,KÕt chuyÓn Lç  ho¹t ®éng tµi chÝnh n¨m 2019,4212,,0,23385430024
2019-12-31,038-TH,KÕt chuyÓn L·i ho¹t ®éng kh¸c n¨m 2019,4212,,333562477,0
2019-12-31,38-TH,KÕt chuyÓn TK.631_gi¸ thµnh KCB n¨m 2019 ®Ó x¸c ®Þnh KQKD n¨m 2019,631,,209496054823,0
2019-12-31,039-TH,KÕt chuyÓn L·i Nhµ thuèc n¨m 2019,4212,,4148471,0
2019-12-31,39-TH,KÕt chuyÓn TK.631_gi¸ thµnh KCB n¨m 2019 ®Ó x¸c ®Þnh KQKD n¨m 2019,631,,123530985226,0
2019-12-31,40-TH,KÕt chuyÓn TK.631_gi¸ thµnh KCB n¨m 2019 ®Ó x¸c ®Þnh KQKD n¨m 2019,631,,53055108328,0
2019-12-31,42-TH,KÕt chuyÓn TK.632 gi¸ vèn ®Ó x¸c ®Þnh KQKD n¨m 2019,6321,,68675102,0
2019-12-31,43-TH,KÕt chuyÓn TK.641 CP b¸n hµng ®Ó x¸c ®Þnh KQKD n¨m 2019,6418,,354800400,0
