ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-01-01,01-BC/BI,"Thu tiÒn VP BN §Æng V¨n Trung, MS: 82686 phiÕu 2260",131,,68321,0
2019-01-01,01-BN/BI,NH thu phÝ thu hé qua m¸y pos ngµy 01/01/2018.,6427,,0,93552
2019-01-01,02-BC/BI,"Thu tiÒn VP BN §Æng TrÇn Nguyªn Kh«i, MS: 82687 phiÕu 2259",131,,147214,0
2019-01-01,03-BC/BI,"Thu tiÒn t¹m øng VP BN NguyÔn ThÞ Kim Loan, MS: 77353 phiÕu 9256",131,,500000,0
2019-01-01,04-BC/BI,"Thu tiÒn VP BN L©m ThÞ Ngäc H­¬ng, MS: 82575 phiÕu 3371",131,,600000,0
2019-01-01,05-BC/BI,"Thu tiÒn VP BN NguyÔn Ngäc Tó Uyªn, MS: 82529 phiÕu 2101",131,,1535000,0
2019-01-01,06-BC/BI,"Thu tiÒn t¹m øng VP BN NguyÔn ThÞ Thªu , MS: 68746 phiÕu 2392",131,,2000000,0
2019-01-01,07-BC/BI,"Thu tiÒn t¹m øng VP BN TrÇn D­¬ng Quèc Anh, MS: 70332 phiÕu 2330",131,,3000000,0
2019-01-01,08-BC/BI,"Thu tiÒn t¹m øng VP BN Vâ ThÞ Thu Thñy, MS: 38514 phiÕu 2198",131,,5000000,0
2019-01-02,01-PC,Chi tiÒn mÆt nép vµo TK TGNH t¹i NH.Agribank CN Cñ Chi. (ST: 2.040.000.000®),1111,,2040000000,0
2019-01-02,02-BN/BI,NH thu phÝ thu hé qua m¸y poss ngµy 02/01/2019.,6427,,0,130148
2019-01-02,09-BC/BI,"Thu tiÒn t¹m øng VP BN Lª Thôy Thanh V©n, MS: 79970 phiÕu 3743.",131,,2000000,0
2019-01-02,09-BC/AG,"Cty Open 99 chuyÓn tiÒn tiÕp thÞ xe taxi T12/2018, 01/2019 theo H§ sè: 01/2018/H§DV ngµy 01/10/2018",711,,8000000,0
2019-01-02,10-BC/BI,"Thu tiÒn t¹m øng VP BN Vâ CÇu BÕn Løc, MS: 82453 phiÕu 3732",131,,2000000,0
2019-01-02,11-BC/BI,"Thu tiÒn VP BN Tr­¬ng ThÞ HiÒn, MS: 47897 phiÕu 3700.",131,,3082015,0
2019-01-02,12-BC/BI,"Thu tiÒn t¹m øng VP BN Hoµng ThÞ Nhung, MS: 44452 phiÕu 3769.",131,,5000000,0
2019-01-02,13-BC/BI,"Thu tiÒn t¹m øng VP BN Mai B¸ Kh©m, MS: 82312 phiÕu 3564.",131,,20000000,0
2019-01-03,03-PC,Chi tiÒn mÆt nép vµo TK TGNH t¹i NH.Agribank CN Cñ Chi. (ST: 1.140.000.000®),1111,,1140000000,0
2019-01-03,03-BN/BI,NH thu phÝ thu hé qua m¸y poss ngµy 03/01/2019,6427,,0,123023
2019-01-03,14-BC/AG,NH CSXH VÜnh Long chuyÓn tiÒn kh¸m søc kháe,131,,46271000,0
