ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-12-31,02-TH,KÕt chuyÓn TK.622_Chi phÝ tiÒn l­¬ng vµo gi¸ thµnh n¨m 2019,622,,123530985226,0
2019-12-31,03-TH,KÕt chuyÓn TK.6272_Chi phÝ V¨n phßng phÈm vµo gi¸ thµnh n¨m 2019,6272,,724829565,0
2019-12-31,04-TH,KÕt chuyÓn TK.6272_Chi phÝ kh¸c vµo gi¸ thµnh n¨m 2019,6272,,66891000,0
2019-12-31,05-TH,KÕt chuyÓn TK.6272_Chi phÝ hãa chÊt diÖt khuÈn vµo gi¸ thµnh n¨m 2019,6272,,6479880,0
2019-12-31,06-TH,KÕt chuyÓn TK.6272_Chi phÝ b¸o r¸cvµo gi¸ thµnh n¨m 2019,6272,,491543195,0
2019-12-31,07-TH,KÕt chuyÓn TK.6272_Chi phÝ  GiÊy Decal in m· v¹ch vµo gi¸ thµnh n¨m 2019,6272,,80575000,0
2019-12-31,08-TH,KÕt chuyÓn TK.6272_Chi phÝ Ên phÈm vµo gi¸ thµnh n¨m 2019,6272,,1564254890,0
2019-12-31,09-TH,KÕt chuyÓn TK.6273_Chi phÝ Ên phÈm vµo gi¸ thµnh n¨m 2019,6273,,39351501,0
2019-12-31,10-TH,KÕt chuyÓn TK.6273_Chi phÝ ®ång phôc nh©n viªn vµo gi¸ thµnh n¨m 2019,6273,,4500000,0
2019-12-31,11-TH,KÕt chuyÓn TK.6277_Chi phÝ tiÒn ®iÖn vµo gi¸ thµnh n¨m 2019,6277,,8988449271,0
2019-12-31,12-TH,KÕt chuyÓn TK.6277_Chi phÝ tiÒn n­íc vµo gi¸ thµnh n¨m 2019,6277,,431919191,0
2019-12-31,13-TH,KÕt chuyÓn TK.6277_Chi phÝ kh¸c vµo gi¸ thµnh n¨m 2019,6277,,221410573,0
2019-12-31,14-TH,KÕt chuyÓn TK.6277_Chi phÝ x¨ng dÇu vµo gi¸ thµnh n¨m 2019,6277,,551685410,0
2019-12-31,15-TH,KÕt chuyÓn TK.6277_Chi phÝ b¶o tr× xe cÊp cøu vµo gi¸ thµnh n¨m 2019,6277,,40405000,0
2019-12-31,16-TH,KÕt chuyÓn TK.6277_Chi phÝ söa ch÷a th­êng xuyªn TSC§ vµo gi¸ thµnh n¨m 2019,6277,,55805261,0
2019-12-31,17-TH,"KÕt chuyÓn TK.6277_Chi phÝ DV vÖ sinh, thu gom vµ xö lý r¸c vµo gi¸ thµnh n¨m 2019",6277,,6173565622,0
2019-12-31,18-TH,KÕt chuyÓn TK.6278_Chi phÝ mua gaz nÊu bÕp ¨n CNV vµo gi¸ thµnh n¨m 2019,6278,,579110412,0
2019-12-31,19-TH,KÕt chuyÓn TK.6278_Chi phÝ n­íc uèng ®ãng b×nh vµo gi¸ thµnh n¨m 2019,6278,,109980000,0
2019-12-31,20-TH,KÕt chuyÓn TK.6278_Chi phÝ mua thùc phÈm bÕp ¨n CNV vµo gi¸ thµnh n¨m 2019,6278,,982350400,0
2019-12-31,21-TH,KÕt chuyÓn TK.6278_Chi phÝ kh¸c CNV vµo gi¸ thµnh n¨m 2019,6278,,12225000,0
2019-12-31,22-TH,KÕt chuyÓn TK.6278_Chi phÝ ch¨m sãc c©y c¶nh vµo gi¸ thµnh n¨m 2019,6278,,2100000,0
2019-12-31,30-TH,KÕt chuyÓn TK.6274_Chi phÝ khÊu hao cña tßa nhµ vµo gi¸ thµnh n¨m 2019,6274,,20310860139,0
2019-12-31,33-TH,"KÕt chuyÓn TK.621_Chi phÝ thuèc, vËt t­ n¨m 2019 vµo n¨m 2019",6211,,184247673576,0
2019-12-31,34-TH,KÕt chuyÓn TK.621_Chi phÝ hãa chÊt xÐt nghiÖm n¨m 2019 vµo n¨m 2019,6212,,24699978447,0
2019-12-31,35-TH,KÕt chuyÓn TK.621_Chi phÝ DV göi mÉu XN n¨m 2019 vµo n¨m 2019,6212,,1332060000,0
2019-12-31,36-TH,KÕt chuyÓn TK.621_Chi phÝ mua khÝ Oxy n¨m 2019 vµo n¨m 2019,6212,,548402800,0
2019-12-31,37-TH,KÕt chuyÓn TK.621_Chi phÝ hãa chÊt diÖt khuÈn n¨m 2019 vµo n¨m 2019,6212,,2231218565,0
2019-12-31,38-TH,KÕt chuyÓn TK.631_gi¸ thµnh KCB n¨m 2019 ®Ó x¸c ®Þnh KQKD n¨m 2019,91111,,0,209496054823
2019-12-31,39-TH,KÕt chuyÓn TK.631_gi¸ thµnh KCB n¨m 2019 ®Ó x¸c ®Þnh KQKD n¨m 2019,91111,,0,123530985226
2019-12-31,40-TH,KÕt chuyÓn TK.631_gi¸ thµnh KCB n¨m 2019 ®Ó x¸c ®Þnh KQKD n¨m 2019,91111,,0,53055108328
2019-12-31,149-KTK,KÕt chuyÓn Chi phÝ tr¶ tr­íc n¨m 2019,6273,,8053538453,0
