ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-01-01,01-BN/BI,NH thu phÝ thu hé qua m¸y pos ngµy 01/01/2018.,1121,,93552,0
2019-01-02,01-PC,PhÝ nép tiÒn vµo TK TGNH t¹i NH.Agribank CN Cñ Chi.,1111,,673200,0
2019-01-02,02-PC,Chi TT phÝ kiÓm ®Þnh thiÕt bÞ c©n §H cho TT kü thuËt tiªu chuÈn ®o l­êng chÊt l­îng (theo H§ 0030503 ngµy 02/01/2019),1111,,4420000,0
2019-01-02,02-BN/BI,NH thu phÝ thu hé qua m¸y poss ngµy 02/01/2019.,1121,,130148,0
2019-01-03,03-PC,PhÝ nép tiÒn vµo TK TGNH t¹i NH.Agribank CN Cñ Chi.,1111,,376200,0
2019-01-03,03-BN/BI,NH thu phÝ thu hé qua m¸y poss ngµy 03/01/2019,1121,,123023,0
2019-01-04,04-BN/BI,NH thu phÝ thu hé qua m¸y pos ngµy 04/01/2019.,1121,,121000,0
2019-01-04,06-PC,PhÝ nép tiÒn vµo TK TGNH t¹i NH.Agribank CN Cñ Chi.,1111,,389400,0
2019-01-04,13-KTK,"Chi phÝ duy tr× cung cÊp gi¶i ph¸p vµ phÇn mÒm ""BÖnh viÖn th«ng minh"" quý 01/2019 theo H§ sè: 2508H§KT/BVXA-HIS (H§ 0000963 ngµy 04/01/2019) - Cty y tÕ Th«ng Minh",331,,210000000,0
2019-01-05,05-BN/BI,NH thu phÝ thu hé qua m¸y poss ngµy 05/01/2019.,1121,,93000,0
2019-01-05,08-PC,Chi tiÒn mÆt nép vµo TK TGNH (6120201006313) cña BVXA Cñ Chi t¹i NH. Agribank CN. Cñ Chi,1111,,297000,0
2019-01-06,06-BN/BI,NH thu phÝ thu hé qua m¸y poss ngµy 06/01/2019.,1121,,128510,0
2019-01-07,01-BN/AG.,NH Agribank thu phÝ chuyÓn tiÒn cho Cty Winterhall,1121,,16500,0
2019-01-07,02-BN/AG.,NH Agribank thu phÝ chuyÓn tiÒn cho Cty Phôc Sinh,1121,,38801,0
2019-01-07,03-BN/AG.,NH Agribank thu phÝ chuyÓn tiÒn cho Cty Sang,1121,,52202,0
2019-01-07,04-BN/AG.,NH Agribank thu phÝ chuyÓn tiÒn cho Cty Trung ¦¬ng 2,1121,,100115,0
2019-01-07,05-BN/AG.,NH Agribank thu phÝ chuyÓn tiÒn cho Cty §¹i Nguyªn Ph¸t,1121,,528697,0
2019-01-07,06-BN/AG..,NH Agribank thu phÝ chuyÓn tiÒn cho Cty BMS,1121,,153059,0
2019-01-07,07-BN/AG.,NH Agribank thu phÝ chuyÓn tiÒn cho TT truyÒn thanh Ch©u Thµnh,1121,,22000,0
2019-01-07,07-BN/BI,NH thu phÝ thu hé qua m¸y poss ngµy 07/01/2018.,1121,,168000,0
2019-01-07,08-BN/AG.,NH Agribank thu phÝ chuyÓn tiÒn cho TT truyÒn thanh Cao L·nh,1121,,22000,0
2019-01-07,09-PC,PhÝ nép tiÒn vµo TK TGNH t¹i NH.Agribank CN Cñ Chi.,1111,,369600,0
2019-01-07,09-BN/AG..,NH Agribank thu phÝ chuyÓn tiÒn cho Cty Long Giang,1121,,198996,0
2019-01-07,10-BN/AG.,NH Agribank thu phÝ chuyÓn tiÒn cho Cty B¸ch Khang,1121,,159731,0
2019-01-07,11-BN/AG..,NH Agribank thu phÝ chuyÓn tiÒn cho Cty Nam Khang,1121,,29425,0
2019-01-08,08-BN/BI,NH thu phÝ thu hé qua m¸y poss ngµy 08/01/2019,1121,,115153,0
2019-01-08,12-BN/AG.,NH Agribank thu phÝ chuyÓn tiÒn cho Cty M­êi Th¸ng Ba,1121,,31902,0
2019-01-08,14-PC,Chi TT tiÒn thuª bao truyÒn h×nh c¸p th¸ng 12/2018 (theo H§ 0004517 ngµy 02/01/2019) - C«ng ty TruyÒn h×nh Ph­¬ng Nam,1111,,4257000,0
2019-01-08,15-PC,"Chi TT tiÒn BG§ ngo¹i giao, tiÕp kh¸ch (theo H§ 0021775 ngµy 08/01/2019)",1111,,3363500,0
2019-01-08,16-BN/AG.,NH Agribank thu phÝ chuyÓn tiÒn cho Cty Mª K«ng,1121,,22000,0
2019-01-08,17-PC,PhÝ nép tiÒn vµo TK TGNH t¹i NH.Agribank CN Cñ Chi.,1111,,359700,0
2019-01-09,09-BN/BI,NH thu phÝ thu hé qua m¸y poss ngµy 09/01/2019.,1121,,76544,0
2019-01-09,18-PC,PhÝ nép tiÒn vµo TK TGNH t¹i NH.Agribank CN Cñ Chi.,1111,,204600,0
2019-01-09,20-PC,Chi TT tiÒn c­íc dÞch vô viÔn th«ng th¸ng 12/2018 theo H§ 1023010 ngµy 09/01/2019 - Trung t©m kinh doanh VNPT VÜnh Long,1111,,715000,0
2019-01-10,10-BN/BI,NH thu phÝ thu hé qua m¸y poss ngµy 10/01/2019.,1121,,21300,0
2019-01-10,16-BN/AG..,NH Agribank thu phÝ biÕn ®éng tµi kho¶n T01/2019 (TK: 7300201006668),1121,,88000,0
2019-01-10,17-BN/AG.,NH Agribank thu phÝ chuyÓn tiÒn cho Cty Hoµng §øc,1121,,378106,0
