ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-12-31,037-TH,KÕt chuyÓn Lç  ho¹t ®éng tµi chÝnh n¨m 2019,9112,,23385430024,0
2019-12-31,038-TH,KÕt chuyÓn L·i ho¹t ®éng kh¸c n¨m 2019,9113,,0,333562477
2019-12-31,039-TH,KÕt chuyÓn L·i Nhµ thuèc n¨m 2019,91111,,0,4148471
2019-12-31,127-TH,KÕt chuyÓn L·i ho¹t ®éng KCB n¨m 2019,91111,,0,12953265888
2019-12-31,152-KTK,KÕt chuyÓn Lç n¨m nay sang tµi kho¶n 4211 n¨m 2019,4211,,0,10094453188
2019-12-31,152-KTK,KÕt chuyÓn Lç n¨m nay sang tµi kho¶n 4211 n¨m 2019,4212,,10094453188,0
