ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-01-05,13-BN/AG,ChuyÓn TT tiÒn l­¬ng (§ît 1 T.12/2018) cho CB-CNV khèi qu¶n lý,1121,,449057311,0
2019-01-05,13-BN/AG.,ChuyÓn TT tiÒn l­¬ng (§ît 1 T.12/2018) cho CB-CNV khèi chuyªn m«n,1121,,2513165751,0
2019-01-05,14/BN-AG,ChuyÓn TT tiÒn l­¬ng (§ît 1 T.12/2018) cho CB-CNV khèi qu¶n lý,1121,,10932692,0
2019-01-05,14/BN-AG.,ChuyÓn TT tiÒn l­¬ng (§ît 1 T.12/2018) cho CB-CNV khèi chuyªn m«n,1121,,220290798,0
2019-01-07,10-PC,Chi TT tiÒn l­¬ng (§ît 1 T.12/2018) cho CB-CNV khèi qu¶n lý,1111,,43655869,0
2019-01-07,10A-PC,Chi TT tiÒn l­¬ng (§ît 1 T.12/2018) cho CB- CNV khèi chuyªn m«n.,1111,,150807797,0
2019-01-07,11-PC,Chi TT tiÒn l­¬ng (§ît 1 T.12/2018) cho CB-CNV qu¶n lý,1111,,3179000,0
2019-01-07,11A-PC,Chi TT tiÒn l­¬ng (§ît 1 T.12/2018) cho CB- CNV khèi chuyªn m«n.,1111,,258056010,0
2019-01-07,12-PC,Chi TT tiÒn l­¬ng (§ît 1 T.12/2018) cho CB-CNV,1111,,40119704,0
2019-01-07,45L-KTK,KhÊu trõ thuÕ TNCN lÇn 1 T.01/2019 vµo tiÒn l­¬ng T.12/2018 cña CB-CNV khèi qu¶n lý,3335,,2327377,0
2019-01-07,46L-KTK,KhÊu trõ thuÕ TNCN lÇn 1 T.01/2019 vµo tiÒn l­¬ng T.12/2018 cña CB-CNV khèi chuyªn m«n,3335,,29796557,0
2019-01-10,27-BN/AG,ChuyÓn TT tiÒn l­¬ng (§ît 2 T.12/2018) cho CB-CNV khèi qu¶n lý,1121,,250753900,0
2019-01-10,27-BN/AG.,ChuyÓn TT tiÒn l­¬ng (§ît 2 T.12/2018) cho CB-CNV khèi chuyªn m«n,1121,,3471598817,0
2019-01-10,28-BN/AG,ChuyÓn TT tiÒn l­¬ng (§ît 2 T.12 12/2018) cho CB-CNV khèi qu¶n lý,1121,,1450000,0
2019-01-10,28-BN/AG.,ChuyÓn TT tiÒn l­¬ng (§ît 2 T.12/2018) cho CB-CNV khèi chuyªn m«n,1121,,50507476,0
2019-01-11,26-PC,Chi TT tiÒn l­¬ng (§ît 2 - th¸ng 12/2018) cho CB-CNV khèi qu¶n lý,1111,,750000,0
2019-01-11,26A-PC,Chi TT tiÒn l­¬ng (§ît 2 T.12/2018) cho CB-CBV khèi chuyªn m«n,1111,,200805231,0
2019-01-11,27-PC,Chi TT tiÒn l­¬ng (§ît 2 - T.12/2018) cho CB-CNV khèi qu¶n lý.,1111,,11639000,0
2019-01-11,27A-PC,Chi TT tiÒn l­¬ng (§ît 2 T.12/2018) cho CB-CBV khèi chuyªn m«n,1111,,162650557,0
2019-01-11,28-PC,Chi TT tiÒn l­¬ng (§ît 2 - th¸ng 12/2018) cho CB-CNV khèi chuyªn m«n.,1111,,31003403,0
2019-01-12,31-PC,Chi TT tiÒn l­¬ng (§ît 2 th¸ng 12/2018) cho CB-CNV khèi qu¶n lý,1111,,1500000,0
2019-01-12,31A-PC,Chi TT tiÒn l­¬ng (§ît 2 T.12/2019) cho CB-CBV khèi chuyªn m«n,1111,,6500000,0
2019-01-12,47L-KTK,KhÊu trõ thuÕ TNCN lÇn 2 T.01/2019 vµo tiÒn l­¬ng T.12/2018cña CB-CNV khèi qu¶n lý,3335,,33057201,0
2019-01-12,48L-KTK,KhÊu trõ thuÕ TNCN lÇn 2 T.01/2019 vµo tiÒn l­¬ng T.12/2018 cña CB-CNV khèi chuyªn m«n,3335,,508778386,0
2019-01-14,07-KTK,KhÊu trõ 1% tiÒn C«ng §oµn th¸ng 12/2018 vµo tiÒn l­¬ng cña CB-CNV khèi qu¶n lý.,3382,,4021570,0
2019-01-14,08-KTK,KhÊu trõ 1% tiÒn C«ng §oµn th¸ng 12/2018 vµo tiÒn l­¬ng cña CB-CNV khèi chuyªn m«n .,3382,,18288831,0
2019-01-20,66-KTK,Thu hoµn 8% BHXH T.10/2018 vµo tiÒn l­¬ng cña Huúnh ThÞ Thu Th¶o,1388,,299200,0
2019-01-20,67-KTK,Thu hoµn 1.5% BHYT T.10/2018 vµo tiÒn l­¬ng cña Huúnh ThÞ Thu Th¶o,1388,,56100,0
2019-01-20,68-KTK,Thu hoµn 1% BHTN T.10/2018 vµo tiÒn l­¬ng cña Huúnh ThÞ Thu Th¶o,1388,,37400,0
2019-01-29,67-PC,Chi tiÒn t¹m øng l­¬ng T.01/2019 cho CB-CNV khèi qu¶n lý,1111,,38100000,0
2019-01-29,67A-PC,Chi tiÒn t¹m øng l­¬ng T.01/2019 cho CB-CBV khèi chuyªn m«n,1111,,134500000,0
2019-01-29,68-PC,Chi tiÒn t¹m øng l­¬ng T.01/2019 cho CB-CNV khèi qu¶n lý,1111,,3000000,0
2019-01-29,68A-PC,Chi tiÒn t¹m øng l­¬ng T.01/2019 cho CB-CBV khèi chuyªn m«n,1111,,276400000,0
2019-01-29,69-PC,Chi tiÒn t¹m øng l­¬ng T.01/2019 cho CB-CNV khèi chuyªn m«n,1111,,36000000,0
2019-01-29,69L-KTK,KhÊu trõ TNCN lÇn 3 T.01/2019 vµo tiÒn th­ëng T.12/2018 cña CB-NV khèi qu¶n lý,3335,,51246007,0
2019-01-29,70-PC,Chi tiÒn th­ëng n¨m 2018 cho CB-CNV khèi qu¶n lý,1111,,15686468,0
2019-01-29,70A-PC,Chi tiÒn th­ëng n¨m 2018 CB-CBV khèi chuyªn m«n,1111,,37001287,0
2019-01-29,70L-KTK,KhÊu trõ TNCN lÇn 3 T.01/2019 vµo tiÒn th­ëng T.12/2018 cña CB-CNV khèi chuyªn m«n,3335,,317025796,0
2019-01-29,71-PC,Chi tiÒn th­ëng n¨m 2018 cho CB-CNV khèi chuyªn m«n,1111,,13870500,0
2019-01-29,129-BN/AG,ChuyÓn t¹m øng tiÒn l­¬ng T01/2019 cho CB-CNV khèi qu¶n lý,1121,,426600000,0
2019-01-29,129-BN/AG.,ChuyÓn tiÒn t¹m øng l­¬ng T.01/2019 cho CB-CNV khèi chuyªn m«n,1121,,2454765773,0
2019-01-29,130-BN/AG,ChuyÓn t¹m øng tiÒn l­¬ng T01/2019 cho CB-CNV khèi qu¶n lý,1121,,11800000,0
2019-01-29,130-BN/AG.,ChuyÓn tiÒn t¹m øng l­¬ng T.01/2019 cho CB-CNV khèi chuyªn m«n,1121,,218500000,0
2019-01-29,131-BN/AG,ChuyÓn tiÒn th­ëng tÕt n¨m 2018 cho khèi qu¶n lý,1121,,337742179,0
2019-01-29,131-BN/AG.,ChuyÓn tiÒn th­ëng n¨m 2018 cho CB-CNV khèi chuyªn m«n,1121,,1788333482,0
2019-01-31,136-KTK,TrÝch tiÒn phô cÊp vµ khen th­ëng T.01/2019 cña CB-CNV khèi qu¶n lý,6421,,0,461197366
2019-01-31,137-KTK,TrÝch tiÒn phô cÊp vµ khen th­ëng T.01/2019 cña CB-CNV khèi chuyªn m«n,622,,0,5130106088
2019-02-02,01-KTK,"Chi TT tiÒn èm ®au,TS (§ît 1 T.01/2019) cho NguyÔn ThÞ Méng TuyÒn - K. D­îc",3383,,0,2666667
2019-02-02,08-PC,"Chi TT tiÒn èm ®au, TS (§ît 1 T.01/2019) cho NguyÔn ThÞ Méng TuyÒn - K.D­îc",1111,,2666667,0
2019-02-13,12-BN/AG,ChuyÓn TT tiÒn phô cÊp vµ khen th­ëng T.01/2019 cho CB-CNV khèi qu¶n lý,1121,,289913235,0
2019-02-13,12-BN/AG.,ChuyÓn TT tiÒn phô cÊp vµ khen th­ëng T.01/2019 cho CB-CNV khèi chuyªn m«n,1121,,3352064260,0
2019-02-13,13-BN/AG,ChuyÓn TT tiÒn phô cÊp vµ khen th­ëng T.01/2019 cho CB-CNV khèi qu¶n lý,1121,,1158255,0
2019-02-13,13-BN/AG.,ChuyÓn TT tiÒn phô cÊp vµ khen th­ëng T.01/2019 cho CB-CNV khèi chuyªn m«n,1121,,36533170,0
2019-02-13,18-PC,Chi TT tiÒn phô cÊp vµ khen th­ëng T.01/2019 cho CB-CNV khèi qu¶n lý,1111,,72217273,0
2019-02-13,18A-PC,Chi TT tiÒn phô cÊp vµ khen th­ëng T.01/2019 cho CB-CNV khèi chuyªn m«n,1111,,444764546,0
2019-02-13,19-PC,Chi TT tiÒn phô cÊp vµ khen th­ëng T.01/2019 cho CB-CNV khèi qu¶n lý,1111,,1158255,0
2019-02-13,19A-PC,Chi TT tiÒn phô cÊp vµ khen th­ëng T.01/2019 cho CB-CNV khèi chuyªn m«n,1111,,215886533,0
2019-02-13,20-PC,Chi TT tiÒn l­¬ng (§ît 2 Th¸ng 01.2019) cho CB-CNV,1111,,126835937,0
2019-02-13,21-PC,Chi TT tiÒn phô cÊp vµ khen th­ëng T.01/2019 cho CB-CNV khèi qu¶n lý,1111,,2500000,0
2019-02-13,21A-PC,Chi TT tiÒn phô cÊp vµ khen th­ëng T.01/2019 cho CB-CNV khèi chuyªn m«n,1111,,6500000,0
2019-02-13,22-PC,Chi tiÒn t¹m øng l­¬ng Th¸ng 01.2019 cho CB-CNV khèi chuyªn m«n,1111,,11000000,0
2019-02-13,34-KTK,KhÊu trõ thuÕ TNCN lÇn 1 T.02/2019 vµo tiÒn l­¬ng T.01/2019 cña CB-CNV khèi qu¶n lý,3335,,2351267,0
2019-02-13,35-KTK,KhÊu trõ thuÕ TNCN lÇn 1 T.02/2019 vµo tiÒn l­¬ng T.01/2019 cña CB-CNV khèi chuyªn m«n,3335,,39789052,0
