ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-02-19,58-KTK,ChuyÓn tiÒn hµng thµnh tiÒn thuÕ GTGT ®Çu vµo (do xuÊt tr¶ hµng Cty Gon Sa H§ sè: 0030236 ngày 22/08/2018) - Cty Gon sa,1521,,128571,0
2019-02-19,59-KTK,ChuyÓn tiÒn hµng thµnh tiÒn thuÕ GTGT ®Çu vµo (do xuÊt tr¶ hµng Cty Nam Khang H§ sè: 0001369 ngµy 30/07/2018) - Cty Nam Khang,1521,,2952000,0
2019-02-28,60-KTK,KÕt chuyÓn tiÒn thuÕ GTGT ®Çu vµo cña hµng xuÊt tr¶ T02/2019,33311,,0,3080571
2019-03-06,42-KTK,ChuyÓn tiÒn hµng thµnh tiÒn thuÕ GTGT ®Çu vµo (do xuÊt tr¶ hµng Cty Vimedimex BD H§ sè: 0970947 ngµy 15/01/2019) - Cty Vimedimex BD,1521,,3599317,0
2019-03-26,43-KTK,ChuyÓn tiÒn hµng thµnh tiÒn thuÕ GTGT ®Çu vµo (do xuÊt tr¶ hµng Cty T©m Phóc Vinh H§ sè: 0000513 ngày 26/12/2018) - Cty T©m Phóc Vinh,1521,,116667,0
2019-03-31,44-KTK,KÕt chuyÓn tiÒn thuÕ GTGT ®Çu vµo cña hµng xuÊt tr¶ T03/2019,33311,,0,3715984
2019-04-04,01-KTK,ChuyÓn gi¸ trÞ tiÒn hµng thµnh tiÒn thuÕ ®Çu vµo cña H§ 0013138 ngµy 04/12/2018 Cty Phan Anh [do xuÊt tr¶ hµng theo H§ 0002001 ngµy 04/04/2019).,1522,,428571,0
2019-04-06,01-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000504 ngµy 25/03/2019, Bill 1054424) - Cty Hîp Lùc",331,,468810,0
2019-04-09,02-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000520 ngµy 09/04/2019, Bill 1074317) - Cty Hîp Lùc",331,,77523,0
2019-04-17,03-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 1241888 ngµy 16/04/2019, Bill 1103971) - Cty Vimedimex BD",331,,51233,0
2019-04-23,04-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0023047 ngµy 12/04/2019, Bill 1134829) - Cty Phan Anh",331,,23810,0
2019-04-30,101-KTK,KÕt chuyÓn tiÒn thuÕ GTGT ®Çu vµo ®­îc khÊu trõ cña th¸ng 4/2020,33311,,0,82600
2019-04-30,102-KTK,KÕt chuyÓn tiÒn thuÕ GTGT ®Çu vµo ®­îc khÊu trõ cña th¸ng 4/2020 [Hµng xuÊt tr¶],33311,,0,428571
2019-05-08,69-KTK,ChuyÓn gi¸ tÞ tiÒn hµng thµnh tiÒn thuÕ ®Çu vµo cña H§ 0000291 ngµy 11/01/2019 - Cty §Æng Khang [do xuÊt tr¶ hµng theo H§ 000234 ngµy 08/05/2019],1522,,739500,0
2019-05-16,70-KTK,ChuyÓn gi¸ tÞ tiÒn hµng thµnh tiÒn thuÕ ®Çu vµo cña H§ 00791791 ngµy 15/02/2019 - Cty TB YÕ Hµ Néi [do xuÊt tr¶ thuèc theo H§ 0002423 ngµy 16/05/2019],1521,,20000,0
2019-05-31,71-KTK,KÕt chuyÓn tiÒn tiÒn thuÕ GTGT ®Çu vµo ®­îc khÊu trõ cña th¸ng 5/2019,33311,,0,2357
2019-05-31,72-KTK,KÕt chuyÓn tiÒn tiÒn thuÕ GTGT ®Çu vµo ®­îc khÊu trõ cña th¸ng 5/2019 [Hµng xuÊt tr¶],33311,,0,759500
2019-06-14,01-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000616 ngµy 13/06/2019, Bill 1362774) - Cty Hîp Lùc",331,,387619,0
2019-06-15,87-KTK,ChuyÓn gi¸ trÞ tiÒn hµng thµnh tiÒn thuÕ ®Çu vµo cña H§ 0014939 ngµy 06/06/2020 Cty Thiªn ThÕ [do xuÊt tr¶ thuèc theo H§ 0002773 ngµy 15/06/2020],1521,,48571,0
2019-06-18,02-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000617 ngµy 17/06/2019, Bill 1378839) - Cty Hîp Lùc",331,,85905,0
2019-06-30,88-KTK,KÕt chuyÓn tiÒn thuÕ GTGT ®Çu vµo ®­îc khÊu trõ cña th¸ng 6/2019,33311,,0,617807
2019-06-30,89-KTK,KÕt chuyÓn tiÒn thuÕ GTGT ®Çu vµo ®­îc khÊu trõ cña th¸ng 6/2019 [Hµng xuÊt tr¶],33311,,0,48571
2019-07-02,01-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000623 ngµy 25/06/2019, Bill 1446701) - Cty Hîp Lùc",331,,279714,0
2019-07-16,02-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000648 ngµy 13/07/2019, Bill 1511634) - Cty Hîp Lùc",331,,171810,0
2019-07-23,03-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000664 ngµy 23/07/2019, Bill 1553532) - Cty Hîp Lùc",331,,396000,0
2019-07-31,70-KTK,KÕt chuyÓn tiÒn thuÕ GTGT ®Çu vµo ®­îc khÊu trõ cña th¸ng 7/2019,33311,,0,404931
2019-08-15,01-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000697 ngµy 15/08/2019, Bill 1656927) - Cty Hîp Lùc",331,,396000,0
2019-08-27,02-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000714 ngµy 27/08/2019, Bill 1705746) - Cty Hîp Lùc",331,,314286,0
2019-08-31,80-KTK,KÕt chuyÓn tiÒn thuÕ GTGT ®Çu vµo ®­îc khÊu trõ cña th¸ng 8/2019,33311,,0,747895
2019-09-11,71-KTK,ChuyÓn gi¸ trÞ tiÒn hµng thµnh tiÒn thuÕ ®Çu vµo cña H§ 0015052 ngµy 24/01/2019...Cty B¸ch Khang [do xuÊt tr¶ hµng theo H§ 0003697 ngµy 11/09/2019],1521,,1302906,0
2019-09-11,72-KTK,"ChuyÓn gi¸ trÞ tiÒn hµng thµnh tiÒn thuÕ ®Çu vµo cña H§ 0063662 ngµy 24/08/2019, H§ 0063972 ngµy 31/08/2019, C«ng ty Pymephaco [do xuÊt tr¶ hµng theo H§ 0003698 ngµy 11/09/2019]",1521,,243929,0
2019-09-11,73-KTK,"ChuyÓn gi¸ trÞ tiÒn hµng thµnh tiÒn thuÕ ®Çu vµo cña H§ 0063126 ngµy 06/08/2018, H§ 0063151 ngµy 07/08/2018, H§ 0064024 ngµy 04/09/2018, C«ng ty Pymephaco [do xuÊt tr¶ hµng theo H§ 0003698 ngµy 11/09/",1521,,4143857,0
2019-09-13,01-HHVT,"NhËp hµng hãa vËt t­ y tÕ (H§ 0000737 ngµy 13/09/2019, Bill 1785413) - Cty Hîp Lùc",331,,258238,0
2019-09-16,78-KTK,ChuyÓn gi¸ trÞ tiÒn hµng thµnh tiÒn thuÕ ®Çu vµo cña H§ 0054473 ngµy 06/08/2019 - Cty Vidipha [do xuÊt tr¶ thuèc theo H§ 0003743 ngµy 16/09/2019],1521,,380800,0
2019-09-19,74-KTK,ChuyÓn gi¸ trÞ tiÒn hµng thµnh tiÒn thuÕ ®Çu vµo cña H§ 0015868 ngµy 19/06/2019 [do xuÊt tr¶ hµng theo H§ 0003772 ngµy 19/09/2019],1521,,795271,0
