ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-03-27,07-CCDC,NhËp CCDC c¸c lo¹i (H§ 0021447 ngµy 27/03/2019) - Cty Phan Anh,331,,7350000,0
2019-03-27,08-CCDC,NhËp CCDC c¸c lo¹i (H§ 0021515 ngµy 27/03/2019) - Cty Phan Anh,331,,2450000,0
2019-03-29,12-CCDC,NhËp CCDC c¸c lo¹i (H§ 0006063 ngµy 29/03/2019) - Cty T©n Mai Thµnh,331,,2625000,0
2019-03-29,13-CCDC,NhËp CCDC c¸c lo¹i (H§ 0006064 ngµy 29/03/2019) - Cty T©n Mai Thµnh,331,,2299500,0
2019-03-29,14-CCDC,NhËp CCDC c¸c lo¹i (H§ 0006065 ngµy 29/03/2019) - Cty T©n Mai Thµnh,331,,4394250,0
2019-03-29,15-CCDC,NhËp CCDC c¸c lo¹i (H§ 0006066 ngµy 29/03/2019) - Cty T©n Mai Thµnh,331,,2840250,0
2019-04-01,01-CCDC,NhËp CCDC c¸c lo¹i (H§ 0054645 ngµy 01/04/2019) - Cöa hµng MIMI,331,,68590000,0
2019-04-01,04-CCDC,NhËp CCDC c¸c lo¹i (H§ 0021867 ngµy 01/04/2019) - Cty Phan Anh,331,,38980000,0
2019-04-01,09-CCDC,NhËp CCDC c¸c lo¹i (H§ 0006121 ngµy 01/04/2019) - Cty T©n Mai Thµnh,331,,1344000,0
2019-04-10,05-CCDC,NhËp CCDC c¸c lo¹i (H§ 0022753 ngµy 10/04/2019) - Cty Phan Anh,331,,2250000,0
2019-04-10,06-CCDC,NhËp CCDC c¸c lo¹i (H§ 0022758 ngµy 10/04/2019) - Cty Phan Anh,331,,10200001,0
2019-04-12,10-CCDC,NhËp CCDC c¸c lo¹i (H§ 0000524 ngµy 12/04/2019) - Cty Hîp Lùc,331,,22470000,0
2019-04-23,07-CCDC,NhËp CCDC c¸c lo¹i (H§ 0023841 ngµy 23/04/2019) - Cty Phan Anh,331,,15200000,0
2019-05-03,02-CCDC,NhËp CCDC c¸c lo¹i (H§ 0024401 ngµy 03/05/2019) - Cty Phan Anh,331,,36700000,0
2019-05-03,09-CCDC,NhËp 02 c¸i tói t¨ng tèc dÞch truyÒn Metpak 500ml (H§ 0000942 ngµy 03/05/2019) - Cty ViÖt T©n,331,,3900000,0
2019-05-08,06-CCDC,NhËp CCDC c¸c lo¹i (H§ 0024905 ngµy 08/05/2019) - Cty Phan Anh,331,,4300000,0
2019-05-11,01-CCDC,NhËp CCDC c¸c lo¹i (H§ 0025229 ngµy 11/05/2019) - Cty Phan Anh,331,,13250000,0
2019-05-11,08-CCDC,NhËp CCDC c¸c lo¹i (H§ 0025242 ngµy 11/05/2019) - Cty Phan Anh,331,,5026560,0
2019-05-15,13-CCDC,NhËp CCDC (H§ 0001032 ngµy 15/05/2019) - Cty ViÖt T©n,331,,6000000,0
2019-05-16,07-CCDC,NhËp CCDC c¸c lo¹i (H§ 0025688 ngµy 16/05/2019) - Cty Phan Anh,331,,4500000,0
2019-05-24,05-CCDC,NhËp CCDC c¸c lo¹i (H§ 0026435 ngµy 24/05/2019) - Cty Phan Anh,331,,12000000,0
2019-05-24,10-CCDC,NhËp 24 c¸i nhiÖt kÕ hång ngo¹i ®o tr¸n Microlife (H§ 0000002 ngµy 24/05/2019) - Cty Phan TiÕn,331,,14160000,0
2019-05-24,14-CCDC,NhËp CCDC c¸c lo¹i (H§ 0040440 ngµy 24/05/2019) - Cöa hµng MIMI,331,,51450000,0
2019-05-24,15-CCDC,NhËp CCDC c¸c lo¹i (H§ 0040441 ngµy 24/05/2019) - Cöa hµng MIMI,331,,6360000,0
2019-05-29,03-CCDC,NhËp CCDC c¸c lo¹i (H§ 0026816 ngµy 29/05/2019) - Cty Phan Anh,331,,8600000,0
2019-05-29,11-CCDC,"Mua trèng m¸y, sÊy m¸y in (H§ 0000040 ngµy 29/05/2019) - Cty c«ng nghÖ Nam Khang",331,,1705000,0
2019-05-30,04-CCDC,NhËp CCDC c¸c lo¹i (H§ 0026931 ngµy 30/05/2019) - Cty Phan Anh,331,,3150000,0
2019-05-31,12-CCDC,NhËp CCDC (H§ 0027053 ngµy 31/05/2019) - Cty Phan Anh,331,,2400000,0
2019-06-05,01-CCDC,NhËp CCDC c¸c lo¹i (H§ 0056101 ngµy 05/06/2019) - Cöa hµng MIMI,331,,62907500,0
2019-06-05,07-CCDC,NhËp CCDC c¸c lo¹i (H§ 0056102 ngµy 05/06/2019) - Cöa hµng MIMI,331,,34500000,0
2019-06-07,01-CCDC,NhËp CCDC (H§ 0027689 ngµy 07/06/2019) - Cty Phan Anh,331,,150000,0
2019-06-07,02-CCDC,NhËp CCDC (H§ 0027695 ngµy 07/06/2019) - Cty Phan Anh,331,,1200000,0
2019-06-20,03-CCDC,NhËp CCDC (H§ 0028877 ngµy 20/06/2019) - Cty Phan Anh,331,,6000000,0
2019-06-28,04-CCDC,"Mua trèng m¸y, hép mùc m¸y in (H§ 0000105 ngµy 28/06/2019) - Cty c«ng nghÖ Nam Khang",331,,8201600,0
2019-07-01,02-CCDC,Mua m¸y mãc vµ dông cô khoa m¾t theo H§ sè: 02/02/2019 MKHV-XA ngµy 25/02/2019 (H§ 0000359 ngµy 01/07/2019) - Cty m¾t kÝnh Hµn ViÖt,331,,87040000,0
2019-07-03,05-CCDC,NhËp CCDC c¸c lo¹i (H§ 0000095 ngµy 03/07/2019) - Cty Phan Anh,331,,42140000,0
2019-07-12,01-CCDC,"Mua 01 c¸i bé c¶nh b¸o nhiÖt ®é, ®é Èm SCW-401 (H§ 0001483 ngµy 12/07/2019) - Cty c«ng nghÖ Th«ng Minh",331,,9680000,0
2019-07-16,06-CCDC,NhËp CCDC c¸c lo¹i (H§ 0001266 ngµy 16/07/2019) - Cty Phan Anh,331,,17328000,0
2019-07-18,03-CCDC,NhËp 01 hép Opti Calibration Gas (H§ 0000052 ngµy 18/07/2019) - Cty HiÖp Ph¸t,331,,2231460,0
2019-07-18,07-CCDC,NhËp CCDC c¸c lo¹i (H§ 0001554 ngµy 18/07/2019) - Cty Phan Anh,331,,2400000,0
2019-07-19,42-PC,Chi TT tiÒn mua bãng ®Ìn néi soi sö dông khoa GMHS BVXA VÜnh Long,1111,,14500000,0
2019-07-24,08-CCDC,NhËp CCDC c¸c lo¹i (H§ 0002103 ngµy 24/07/2019) - Cty Phan Anh,331,,3100000,0
2019-07-27,09-CCDC,NhËp CCDC c¸c lo¹i (H§ 0002336 ngµy 27/07/2019) - Cty Phan Anh,331,,12500000,0
2019-07-29,10-CCDC,NhËp CCDC c¸c lo¹i (H§ 0002447 ngµy 29/07/2019) - Cty Phan Anh,331,,2364000,0
2019-08-06,15-CCDC,Mua 02 bé ozon khö khuÈn (H§ 0000029 ngµy 06/08/2019) - Cty Minh Khoa,331,,17600000,0
2019-08-07,09-CCDC,NhËp CCDC (H§ 0003419 ngµy 07/08/2019) - Cty Phan Anh,331,,7117000,0
2019-08-08,05-CCDC,"Mua 01 c¸i kiÒm sinh thiÕt, h×nh cóp oval 3x5mm theo H§ sè: 196H§KTHK/2019 ngµy 06/08/2019 (H§ 0000067 ngµy 08/08/2019) - Cty H¶i Khoa",331,,13912500,0
