ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-01-25,149-BC/BI,Thu l·i tiÒn göi thanh to¸n,1121,,0,251328
2019-01-31,158-BC/AG,Thu l·i tiÒn göi tµi kho¶n thanh to¸n t¹i ng©n hµng Agribank T01/2019,1121,,0,2891700
2019-02-25,150-BC/BI,Thu l·i tiÒn göi thanh to¸n th¸ng 01/2019.,1121,,0,242993
2019-02-28,173-BC/AG,Thu l·i tiÒn göi tµi kho¶n thanh to¸n t¹i ng©n hµng Agribank T02/2019,1121,,0,584400
2019-03-25,148-BC/BI,Thu l·i tiÒn göi thanh to¸n th¸ng 02/2019.,1121,,0,172706
2019-04-25,140-BC/BI,Thu l·i tiÒn göi thanh to¸n th¸ng 03/2019.,1121,,0,183702
2019-04-26,142-BC/AG,Thu l·i tiÒn göi tµi kho¶n thanh to¸n t¹i ng©n hµng Agribank T04/2019,1121,,0,587400
2019-05-25,156-BC/BI,Thu l·i tiÒn göi thanh to¸n th¸ng 04/2019.,1121,,0,213300
2019-05-31,203-BC/AG,Thu l·i tiÒn göi tµi kho¶n thanh to¸n t¹i ng©n hµng Agribank T05/2019,1121,,0,371800
2019-06-25,204-BC/BI,Thu l·i tiÒn göi thanh to¸n th¸ng 05/2019,1121,,0,136388
2019-06-29,238-BC/AG,Thu l·i tiÒn göi tµi kho¶n thanh to¸n t¹i ng©n hµng Agribank T06/2019,1121,,0,139700
2019-07-25,225-BC/BI,Thu l·i iÒn göi thanh to¸n th¸ng 06/2019.,1121,,0,124350
2019-07-31,283-BC/AG,Thu l·i tiÒn göi tµi kho¶n thanh to¸n t¹i ng©n hµng Agribank T7/2019,1121,,0,320300
2019-08-25,236-BC/BI,Thu l·i tiÒn göi tµi kho¶n thanh to¸n th¸ng 07/2019,1121,,0,50572
2019-08-31,282-BC/AG,Thu l·i tiÒn göi tµi kho¶n thanh to¸n t¹i ng©n hµng Agribank T8/2019,1121,,0,241600
2019-09-25,275-BC/BI,Thu l·i tiÒn göi tµi kho¶n thanh to¸n,1121,,0,58283
2019-09-30,314-BC/AG,Thu l·i tiÒn göi tµi kho¶n thanh to¸n t¹i ng©n hµng Agribank T9/2019,1121,,0,365800
2019-10-25,303-BC/BI,Thu tiÒn l·i tµi kho¶n tiÒn göi thanh to¸n th¸ng 10/2019,1121,,0,62829
2019-10-31,365-BC/AG,Thu l·i tiÒn göi tµi kho¶n thanh to¸n t¹i ng©n hµng Agribank T10/2019,1121,,0,685000
2019-11-25,232-BC/BI,Thu l·i tiÒn göi tµi kho¶n thanh to¸n,1121,,0,76957
2019-11-30,284-BC/AG,Thu l·i tiÒn göi tµi kho¶n thanh to¸n t¹i ng©n hµng Agribank T11/2019,1121,,0,438500
2019-12-25,286-BC/BI,Thu l·i tiÒn göi tµi kho¶n thanh to¸n,1121,,0,77927
2019-12-31,28-TH,KÕt chuyÓn L·i tiÒn göi tµi kho¶n thanh to¸n n¨m 2019,9112,,1651335,0
2019-12-31,29-TH,KÕt chuyÓn L·i tiÒn göi tµi kho¶n thanh to¸n n¨m 2019,9112,,6789600,0
2019-12-31,390-BC/AG,Thu l·i tiÒn göi tµi kho¶n thanh to¸n t¹i ng©n hµng Agribank T12/2019,1121,,0,163400
