ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-01-07,07-BN/AG,"ChuyÓn TT tiÒn phÝ qu¶ng c¸o th¸ng 09, 10, 11/2018 - TT truyÒn thanh huyÖn Ch©u Thµnh",1121,,8400000,0
2019-01-07,08-BN/AG,"ChuyÓn TT tiÒn phÝ qu¶ng c¸o th¸ng 08, 09, 10, 11/2018 - TT truyÒn thanh huyÖn Cao L·nh",1121,,6960000,0
2019-01-11,29-PC,"Chi TT tiÒn lµm b¶ng qu¶ng c¸o Mica: Khu néi tró, khu hµnh chÝnh,...",1111,,10738200,0
2019-01-11,37-BN/AG,"ChuyÓn TT tiÒn phÝ ph¸t thanh qu¶ng c¸o T10, 11, 12/2018, T01/2019 - §¹i truyÒn thanh huyÖn Long Hå",1121,,6200000,0
2019-01-11,38-BN/AG,"ChuyÓn TT tiÒn phÝ ph¸t thanh qu¶ng c¸o T09, 10, 11/2018, T01/2019 theo 04 H§ sè: 03T2/H§-§TT, 10T8/H§-§TT, 04T10/H§-§TT, 012/H§-§TT - §¹i truyÒn thanh huyÖn LÊp Vß",1121,,7600000,0
2019-01-11,39-BN/AG,ChuyÓn TT tiÒn phÝ ph¸t thanh qu¶ng c¸o theo H§ sè: 17/H§QC-TTVHTT&TT.2018 - §µi truyÒn thanh TP Sa §Ðc,1121,,3600000,0
2019-01-18,51-PC,"Chi TT tiÒn in b¨ng r«n ""Héi th¶o øng dông DSA trong ®iÒu trÞ bÖnh lý m¹ch m¸u ngo¹i biªn"" (theo H§ 0057590 ngµy 17/01/2019) - C¬ së in V©n Anh",1111,,444000,0
2019-01-26,64-PC,Chi TT tiÒn mua B¨ng ron tÕt 2019 cho BVXA VÜnh Long,1111,,990000,0
2019-01-30,119-BN/AG,ChuyÓn TT 100% H§ sè: 133-H§/2018 ngµy 18/12/2008 - Qu¶ng c¸o trªn b¸o xu©n VÜnh Long n¨m 2019 (H§ 0000101 ngµy 15/01/2019) - B¸o VÜnh Long,1121,,8500000,0
2019-01-30,120-BN/AG,ChuyÓn TT tiÒn phÝ qu¶ng c¸o sèng kháe cïng BV Xuyªn ¸  tõ ngµy 20/12 ®Õn 31/01/2019 - §µi ph¸t thanh Mang ThÝt,1121,,3400000,0
2019-01-30,121-BN/AG,ChuyÓn TT tiÒn phÝ qu¶ng c¸o tuyÓn dông ®iÒu d­ìng tõ ngµy 20/12/2018 ®Õn 31/01/2019 - §µi truyÒn thanh B×nh Minh,1121,,3800000,0
2019-01-30,122-BN/AG,ChuyÓn TT tiÒn phÝ qu¶ng c¸o sèng kháe cïng BV Xuyªn ¸  tõ ngµy 20/12 ®Õn 31/01/2019 - TT truyÒn thanh huyÖn Cao L·nh,1121,,2280000,0
2019-01-30,123-BN/AG,ChuyÓn TT tiÒn phÝ qu¶ng c¸o sèng kháe cïng BV Xuyªn ¸  tõ ngµy 20/12 ®Õn 31/01/2019 - §µi ph¸t thanh B×nh T©n,1121,,3400000,0
2019-01-31,79-PC,"Chi TT tiÒn in Decal kü thuËt sè, b¶ng mica...theo BB nghiÖm thu ngµy 18/01/2019 (H§ 0000002 ngµy 31/01/2019) - C«ng ty TNHH TMDV Phôc Sinh",1111,,18018000,0
2019-02-21,45-PC,"Chi TT tiÒn in b¨ng r«n ""Héi th¶o ung th­ ®¹i trùc trµng"" (theo H§ 0001082 ngµy 20/02/2019) - C«ng ty TNHH TM qu¶ng c¸o Ngäc Phó",1111,,343200,0
2019-02-22,33-BN/AG,"ChuyÓn TT tiÒn ph¸t thanh th«ng b¸o v¾c xin, ký sinh trïng, bÖnh trÜ cña BÖnh viÖn Xuyªn ¸ VÜnh Long th¸ng 12/2018, 01/2019 - §µi truyÒn thanh Cai LËy",1121,,1440000,0
2019-02-22,34-BN/AG,ChuyÓn TT tiÒn phÝ qu¶ng c¸o tuyÓn dông ®iÒu d­ìng tõ ngµy 01/02/2019 ®Õn 28/02/2019 - §µi truyÒn thanh B×nh Minh,1121,,5600000,0
2019-02-22,35-BN/AG,"ChuyÓn TT tiÒn phÝ qu¶ng c¸o th¸ng 10, 11/2018 - §µi truyÒn thanh Chî L¸ch",1121,,960000,0
2019-02-22,37-BN/AG,"ChuyÓn TT tiÒn phÝ qu¶ng c¸o sèng kháe cïng BÖnh viÖn Xuyªn ¸ th¸ng 10, 11/2018 - §µi TruyÒn thanh Vòng Liªm",1121,,2500000,0
2019-02-25,53-PC,"Chi TT tiÒn in ""Standee Héi th¶o S¶n"" ngµy 28/02/2019 - QC. Ngäc Phó",1111,,99000,0
2019-02-26,43-BN/AG,ChuyÓn TT tiÒn phÝ qu¶ng c¸o sèng kháe cïng BV Xuyªn ¸  tõ ngµy 01/02 ®Õn 28/02/2019 - §µi truyÒn thanh Mang ThÝt,1121,,5000000,0
2019-03-05,05-PC,"Chi TT tiÒn in b¨ng r«n ""§Þa ®iÓm b¸n vµ gia h¹n thÎ BHYT"" (theo H§ 0001140 ngµy 05/03/2019) - C«ng ty TNHH TM Qu¶ng c¸o Ngäc Phó",1111,,770000,0
2019-03-06,10-PC,"Chi TT tiÒn in b¨ng r«n (lÇn 2) ""§Þa ®iÓm b¸n vµ gia h¹n thÎ BHYT""",1111,,770000,0
2019-03-12,26-BN/AG,ChuyÓn TT tiÒn phÝ qu¶ng c¸o tõ ngµy 01/02 ®Õn 28/02/2019 - Trung t©m TT huyÖn Ch©u Thµnh,1121,,4200000,0
2019-03-12,27-BN/AG,ChuyÓn TT tiÒn phÝ qu¶ng c¸o T12/2018 ®Õn T01/2019 - §µi truyÒn thanh Chî L¸ch,1121,,1520000,0
2019-03-18,51-BN/AG,"ChuyÓn TT tiÒn phÝ qu¶ng c¸o T11, 12/2018 vµ T01, 02/2019 - §µi truyÒn Thanh Tam B×nh",1121,,14580000,0
2019-03-19,42-PC,"Chi TT tiÒn in kü thuËt sè ""Héi th¶o s¶n vµ kh¸m m¾t miÔn phÝ""",1111,,140000,0
2019-03-21,49-PC,Chi TT tiÒn in Standee phßng m¾t kÝnh - C«ng ty TNHH TM QC Ngäc Phó,1111,,70000,0
2019-03-25,54-PC,Chi TT tiÒn d¸n decal xe cÊp cøu 51B-12678 (theo H§ 0001227 ngµy 23/03/2019) - Cty TNHH TM Qu¶ng c¸o Ngäc Phó,1111,,440000,0
