ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-01-09,12-PT,"Thu hoµn tiÒn l­¬ng ®ît 1 vµ ®ît 2 th¸ng 11/2018 cña NguyÔn ThÞ Kim Ph­îng (TT. Soi), D­¬ng ThÞ Thu YÕn (K. Ngo¹i niÖu)",1111,,0,1287695
2019-01-14,10-KTK,TrÝch 2% tiÒn C«ng §oµn th¸ng 12/2018 vµo tiÒn l­¬ng cña CB-CNV khèi chuyªn m«n,3382,,36577662,0
2019-01-16,40-PC,Chi TT tiÒn khen th­ëng TËp thÓ ®¬n vÞ ®iÒu trÞ §ét quþ,1111,,1000000,0
2019-01-21,53-PC,Chi TT tiÒn båi d­ìng cho BS. Ng« Minh TuÊn (BV. Tr­ng V­¬ng),1111,,5000000,0
2019-01-31,135-KTK,TrÝch 2% KP C«ng §oµn th¸ng 01/2019 vµo tiÒn l­¬ng cña CB-CNV khèi chuyªn m«n,3382,,42810922,0
2019-01-31,137-KTK,TrÝch tiÒn phô cÊp vµ khen th­ëng T.01/2019 cña CB-CNV khèi chuyªn m«n,3341,,5130106088,0
2019-01-31,139-KTK,TrÝch 17%BHXH T.01/2019 cña CB-CNV khèi chuyªn m«n,3383,,331705182,0
2019-01-31,141-KTK,TrÝch 3%BHYT T.01/2019 cña CB-CNV khèi chuyªn m«n,3384,,58538043,0
2019-01-31,143-KTK,TrÝch 1%BHTN T.01/2019 cña CB-CNV khèi chuyªn m«n,3386,,19512681,0
2019-01-31,145-KTK,TrÝch 0.5%BHTNL§ T.01/2019 cña CB-CNV khèi chuyªn m«n,3383,,9756340,0
2019-01-31,146-KTK,"TrÝch 17%BHXH T.01/2019 cña 05 NV (Ph¹m Trung Toµn, TrÇn Mü Dung, BiÖn Thanh Phong, TrÞnh Thanh R¨ng, Lª Thõa Minh Ánh)",3383,,5058205,0
2019-01-31,147-KTK,"TrÝch 3%BHYT T.01/2019 cña 05 NV (Ph¹m Trung Toµn, TrÇn Mü Dung, BiÖn Thanh Phong, TrÞnh Thanh R¨ng, Lª Thõa Minh Ánh)",3384,,890790,0
2019-01-31,148-KTK,"TrÝch 1%BHTN T.01/2019 cña 05 NV (Ph¹m Trung Toµn, TrÇn Mü Dung, BiÖn Thanh Phong, TrÞnh Thanh R¨ng, Lª Thõa Minh Ánh)",3386,,296930,0
2019-01-31,149-KTK,"TrÝch 0.5%BHTNL§T.01/2019 cña 05 NV (Ph¹m Trung Toµn, TrÇn Mü Dung, BiÖn Thanh Phong, TrÞnh Thanh R¨ng, Lª Thõa Minh Ánh)",3383,,148465,0
2019-01-31,150-KTK,"BHXH Vinh Long §/C gi¶m 17% BHXH T.01/2019 cña 05 NV( Lª Thõa Minh ¸nh, Vâ Minh B×nh, NguyÔn Thanh Tiªn, TrÇn H÷u Ph¸p, NguyÔn Kim Cóc)",3383,,0,8045250
2019-01-31,151-KTK,"BHXH Vinh Long §/C gi¶m 1% BHTN T.01/2019 cña 05 NV( Lª Thõa Minh ¸nh, Vâ Minh B×nh, NguyÔn Thanh Tiªn, TrÇn H÷u Ph¸p, NguyÔn Kim Cóc)",3386,,0,643620
2019-01-31,152-KTK,"BHXH Vinh Long §/C gi¶m 0.5% BHTNL§ T.01/2019 cña 05 NV( Lª Thõa Minh ¸nh, Vâ Minh B×nh, NguyÔn Thanh Tiªn, TrÇn H÷u Ph¸p, NguyÔn Kim Cóc)",3383,,0,160905
2019-02-01,02-PC,Chi TT tiÒn båi d­ìng cho BS. Lª Nguyªn Kh«i (BV. Tr­ng V­¬ng),1111,,7000000,0
